,PLAYER_NAME,TEAM_ABBREVIATION,PIE
96,Damion James,NJN,0.077
7,Al Thornton,GSW,0.077
53,Brian Cook,LAC,0.077
332,O.J. Mayo,MEM,0.076
333,Omer Asik,CHI,0.076
450,Zaza Pachulia,ATL,0.076
27,Anthony Parker,CLE,0.076
280,Luc Mbah a Moute,MIL,0.076
164,Gilbert Arenas,ORL,0.075
139,Earl Watson,UTA,0.075
319,Mike Miller,MIA,0.075
38,Ben Gordon,DET,0.075
0,AJ Price,IND,0.075
190,Jamario Moon,LAC,0.074
50,Brandon Rush,IND,0.074
412,Terrence Williams,HOU,0.074
326,Nenad Krstic,BOS,0.074
307,Maurice Ager,MIN,0.074
237,Jordan Hill,HOU,0.074
248,Kendrick Perkins,OKC,0.074
354,Randy Foye,LAC,0.073
408,Sundiata Gaines,NJN,0.073
260,Kurt Thomas,CHI,0.073
442,Willie Green,NOH,0.073
270,Larry Owens,WAS,0.073
289,Manny Harris,CLE,0.073
25,Anthony Carter,NYK,0.073
19,Andres Nocioni,PHI,0.073
275,Leon Powe,MEM,0.072
293,Marco Belinelli,NOH,0.072
170,Greivis Vasquez,MEM,0.072
436,Vladimir Radmanovic,GSW,0.072
395,Shawne Williams,NYK,0.072
315,Mike Bibby,MIA,0.072
298,Mario Chalmers,MIA,0.071
309,Mehmet Okur,UTA,0.071
3,Acie Law,GSW,0.07
95,Damien Wilkins,ATL,0.07
195,James Jones,MIA,0.07
8,Al-Farouq Aminu,LAC,0.07
22,Andris Biedrins,GSW,0.07
324,Nate Robinson,OKC,0.069
413,Thabo Sefolosha,OKC,0.069
66,Cartier Martin,WAS,0.069
10,Alonzo Gee,CLE,0.069
218,Jermaine Taylor,SAC,0.069
283,Luke Harangody,CLE,0.069
179,Ian Mahinmi,DAL,0.069
364,Robin Lopez,PHX,0.068
387,Sebastian Telfair,MIN,0.068
167,Gordon Hayward,UTA,0.068
9,Alexis Ajinca,TOR,0.068
159,Gary Forbes,DEN,0.067
206,Jason Smith,NOH,0.067
328,Nick Collison,OKC,0.067
313,Michael Redd,MIL,0.067
314,Mickael Pietrus,PHX,0.067
154,Francisco Elson,UTA,0.066
277,Linas Kleiza,TOR,0.066
400,Sonny Weems,TOR,0.066
51,Brendan Haywood,DAL,0.066
61,Carlos Arroyo,BOS,0.066
451,Zydrunas Ilgauskas,MIA,0.065
348,Quentin Richardson,ORL,0.065
246,Juwan Howard,MIA,0.065
2,Aaron Gray,NOH,0.065
102,Dante Cunningham,CHA,0.064
211,Jeff Adrien,GSW,0.064
105,Darnell Jackson,SAC,0.064
367,Rodrigue Beaubois,DAL,0.064
447,Yi Jianlian,WAS,0.063
104,Darko Milicic,MIN,0.063
196,James Posey,IND,0.063
149,Erick Dampier,MIA,0.063
138,Earl Clark,ORL,0.063
258,Kosta Koufos,DEN,0.062
296,Marcus Cousin,UTA,0.062
424,Travis Outlaw,NJN,0.062
