,Player,Team,G,PTS,AST,TRB,Stocks,eFG%,MP,PER,TS%,USG%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
20,Zach Randolph,Memphis Grizzlies,75.0,20.1,2.2,12.2,1.1,0.507,2724.0,22.6,0.552,25.0,10.5,2.6,3.2,0.561,82.0,0,0.9146,2011
22,Michael Beasley,Minnesota Timberwolves,73.0,19.2,2.2,5.6,1.4,0.474,2361.0,15.5,0.51,28.3,1.7,-1.8,0.1,0.2073,82.0,0,0.8902,2011
23,Paul Pierce,Boston Celtics,80.0,18.9,3.3,5.4,1.6,0.551,2774.0,19.7,0.62,24.0,11.6,4.6,4.6,0.6829,82.0,0,0.9756,2011
24,David West,New Orleans Hornets,70.0,18.9,2.3,7.6,1.9,0.509,2451.0,20.4,0.558,25.8,7.8,2.8,3.0,0.561,82.0,0,0.8537,2011
25,Pau Gasol,Los Angeles Lakers,82.0,18.8,3.3,10.2,2.2,0.53,3037.0,23.3,0.589,21.8,14.7,4.8,5.2,0.6951,82.0,0,1.0,2011
26,Chris Bosh,Miami Heat,77.0,18.7,1.9,8.3,1.4,0.499,2795.0,19.4,0.569,23.5,10.3,1.3,2.3,0.7073,82.0,0,0.939,2011
27,Stephen Curry,Golden State Warriors,74.0,18.6,5.8,3.9,1.8,0.551,2489.0,19.4,0.595,24.4,6.6,2.3,2.7,0.439,82.0,0,0.9024,2011
28,Al Jefferson,Utah Jazz,82.0,18.6,1.8,9.7,2.5,0.496,2940.0,20.1,0.528,24.2,7.8,0.6,1.9,0.4756,82.0,0,1.0,2011
29,Stephen Jackson,Charlotte Bobcats,67.0,18.5,3.6,4.5,1.6,0.468,2405.0,14.6,0.52,27.4,1.9,-0.5,0.9,0.4146,82.0,0,0.8171,2011
30,Luis Scola,Houston Rockets,74.0,18.3,2.5,8.2,1.2,0.504,2412.0,18.4,0.538,25.7,5.5,-0.4,1.0,0.5244,82.0,0,0.9024,2011
31,Joe Johnson,Atlanta Hawks,72.0,18.2,4.7,4.0,0.8,0.481,2554.0,16.4,0.517,26.3,4.2,-0.3,1.1,0.5366,82.0,0,0.878,2011
35,Tony Parker,San Antonio Spurs,78.0,17.5,6.6,3.1,1.2,0.531,2528.0,20.4,0.569,25.5,8.2,1.8,2.4,0.7439,82.0,0.002,0.9512,2011
36,Luol Deng,Chicago Bulls,82.0,17.4,2.8,5.8,1.6,0.51,3208.0,15.5,0.549,20.9,9.9,1.7,3.0,0.7561,82.0,0,1.0,2011
37,Manu Ginóbili,San Antonio Spurs,80.0,17.4,4.9,3.7,1.9,0.509,2426.0,21.7,0.581,26.0,9.9,5.4,4.5,0.7439,82.0,0.017,0.9756,2011
38,Nick Young,Washington Wizards,64.0,17.4,1.2,2.7,1.0,0.497,2034.0,14.5,0.538,24.4,2.8,-1.3,0.4,0.2805,82.0,0,0.7805,2011
39,Paul Millsap,Utah Jazz,76.0,17.3,2.5,7.6,2.3,0.536,2605.0,19.8,0.578,22.6,7.7,1.9,2.5,0.4756,82.0,0,0.9268,2011
40,DeMar DeRozan,Toronto Raptors,82.0,17.2,1.8,3.8,1.4,0.469,2851.0,14.5,0.53,23.2,3.2,-2.5,-0.3,0.2683,82.0,0,1.0,2011
41,Chauncey Billups,New York Knicks,72.0,16.8,5.4,2.6,1.2,0.519,2310.0,18.7,0.617,22.3,8.0,2.6,2.7,0.5122,82.0,0,0.878,2011
42,Andray Blatche,Washington Wizards,64.0,16.8,2.3,8.2,2.3,0.447,2172.0,16.9,0.497,25.5,2.4,-0.9,0.6,0.2805,82.0,0,0.7805,2011
43,Ray Allen,Boston Celtics,80.0,16.5,2.7,3.4,1.2,0.577,2890.0,16.4,0.615,19.8,10.0,2.9,3.6,0.6829,82.0,0,0.9756,2011
44,David Lee,Golden State Warriors,73.0,16.5,3.2,9.8,1.4,0.508,2634.0,17.8,0.549,21.2,6.0,-0.4,1.1,0.439,82.0,0,0.8902,2011
45,Josh Smith,Atlanta Hawks,77.0,16.5,3.3,8.5,2.9,0.502,2645.0,19.2,0.54,24.7,6.4,2.8,3.2,0.5366,82.0,0,0.939,2011
46,John Wall,Washington Wizards,69.0,16.4,8.3,4.6,2.3,0.427,2606.0,15.8,0.494,23.8,2.2,-0.8,0.8,0.2805,82.0,0,0.8415,2011
47,Dorell Wright,Golden State Warriors,82.0,16.4,3.0,5.3,2.3,0.508,3147.0,15.0,0.539,19.3,5.8,0.8,2.2,0.439,82.0,0,1.0,2011
48,Brandon Jennings,Milwaukee Bucks,63.0,16.2,4.8,3.7,1.8,0.443,2169.0,15.6,0.493,25.5,3.9,1.6,2.0,0.4268,82.0,0,0.7683,2011
49,Wesley Matthews,Portland Trail Blazers,82.0,15.9,2.0,3.1,1.3,0.528,2758.0,15.5,0.582,21.3,7.2,0.9,2.0,0.5854,82.0,0,1.0,2011
50,Chris Paul,New Orleans Hornets,80.0,15.9,9.8,4.1,2.5,0.502,2880.0,23.7,0.578,21.1,13.9,7.1,6.7,0.561,82.0,0.002,0.9756,2011
51,Jason Terry,Dallas Mavericks,82.0,15.8,4.1,1.9,1.3,0.509,2564.0,15.9,0.545,24.7,5.3,0.9,1.9,0.6951,82.0,0,1.0,2011
52,Gerald Wallace,Portland Trail Blazers,71.0,15.7,2.4,8.0,2.4,0.49,2693.0,16.2,0.548,20.3,6.2,1.5,2.4,0.5854,82.0,0,0.8659,2011
53,Jason Richardson,Orlando Magic,80.0,15.6,1.8,4.1,1.4,0.536,2715.0,15.0,0.555,20.6,6.9,1.7,2.5,0.6341,82.0,0,0.9756,2011
54,Danilo Gallinari,Denver Nuggets,62.0,15.6,1.7,4.9,1.2,0.495,2104.0,15.7,0.597,18.9,6.1,0.7,1.4,0.6098,82.0,0,0.7561,2011
55,Raymond Felton,Denver Nuggets,75.0,15.5,8.3,3.6,1.8,0.483,2737.0,16.6,0.524,21.6,5.4,0.6,1.8,0.6098,82.0,0,0.9146,2011
56,Rodney Stuckey,Detroit Pistons,70.0,15.5,5.2,3.1,1.2,0.455,2183.0,18.4,0.544,24.5,5.0,0.2,1.2,0.3659,82.0,0,0.8537,2011
57,Wilson Chandler,Denver Nuggets,72.0,15.3,1.7,5.7,2.0,0.509,2401.0,14.6,0.537,20.9,3.9,-0.2,1.1,0.6098,82.0,0,0.878,2011
58,Al Horford,Atlanta Hawks,77.0,15.3,3.5,9.3,1.8,0.558,2704.0,20.7,0.587,19.7,10.1,3.6,3.9,0.5366,82.0,0,0.939,2011
59,Devin Harris,Utah Jazz,71.0,15.2,7.1,2.4,1.1,0.458,2254.0,17.2,0.545,24.6,4.2,0.6,1.5,0.4756,82.0,0,0.8659,2011
60,Elton Brand,Philadelphia 76ers,81.0,15.0,1.5,8.3,2.4,0.512,2809.0,18.5,0.553,19.7,9.4,1.3,2.4,0.5,82.0,0,0.9878,2011
62,Kevin Garnett,Boston Celtics,71.0,14.9,2.4,8.9,2.1,0.529,2220.0,20.6,0.575,22.3,9.0,4.7,3.8,0.6829,82.0,0,0.8659,2011
