,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards
239,195.0,Fred Saunders,25.0,BOS,SF,68.0,,15.5,2.7,5.8,0.466,0.5,0.8,0.66,1.1,2.2,3.3,1.3,0.4,0.1,2.8,5.9,
240,196.0,Mo Layton,28.0,NYK,SG,56.0,,13.7,2.4,4.9,0.484,1.0,1.3,0.795,0.2,0.6,0.8,2.8,0.4,0.1,1.6,5.8,
241,197.0,Scott Lloyd,24.0,MIL,C,69.0,,14.9,2.2,4.7,0.472,1.4,1.8,0.754,1.2,1.9,3.0,0.5,0.3,0.2,2.3,5.8,
242,198.0,Sonny Parker,21.0,GSW,SF,65.0,,13.7,2.4,4.5,0.527,1.1,1.4,0.772,1.3,1.4,2.7,0.9,0.8,0.4,1.2,5.8,
243,199.0,Tom Van Arsdale,33.0,PHO,SF,77.0,,18.5,2.2,5.1,0.433,1.3,1.9,0.703,0.6,1.8,2.4,0.9,0.3,0.0,2.1,5.8,
244,200.0,Dave Wohl,27.0,2TM,PG,51.0,,19.3,2.3,5.7,0.4,1.2,1.7,0.685,0.3,1.3,1.6,2.8,0.8,0.1,2.3,5.7,
245,200.0,Dave Wohl,27.0,HOU,PG,14.0,,4.4,0.5,1.2,0.412,0.3,0.3,1.0,0.1,0.3,0.4,1.1,0.0,0.0,1.3,1.3,
246,200.0,Dave Wohl,27.0,NYN,PG,37.0,,25.0,2.9,7.4,0.399,1.5,2.3,0.671,0.4,1.6,2.1,3.4,1.1,0.2,2.6,7.4,
247,201.0,Dennis Awtrey,28.0,PHO,C,72.0,,24.4,2.2,5.2,0.429,1.3,1.8,0.722,1.5,3.4,4.9,2.5,0.3,0.4,2.4,5.7,
248,202.0,John Brown,25.0,ATL,SF,77.0,,18.2,2.1,4.5,0.457,1.6,1.9,0.807,1.0,2.1,3.1,1.3,0.6,0.1,2.8,5.7,
249,203.0,Ticky Burden,23.0,NYK,SG,61.0,,10.0,2.4,5.8,0.42,0.8,1.4,0.6,0.4,0.7,1.1,1.0,0.8,0.0,1.4,5.7,
250,204.0,Kevin Restani,25.0,MIL,PF,64.0,,17.4,2.7,5.2,0.518,0.2,0.4,0.5,1.3,2.8,4.1,1.4,0.5,0.2,1.6,5.6,
251,205.0,Neal Walk,28.0,NYK,C,11.0,,12.3,2.5,5.2,0.491,0.5,0.6,0.857,0.5,2.0,2.5,0.5,0.4,0.3,2.0,5.6,
252,206.0,Robin Jones,22.0,POR,C,63.0,,16.9,2.2,4.7,0.465,1.0,1.7,0.606,1.6,3.1,4.7,1.3,0.6,0.6,2.0,5.5,
253,207.0,Nate Thurmond,35.0,CLE,C,49.0,9.0,20.3,2.0,5.0,0.407,1.4,2.2,0.642,2.5,5.2,7.6,1.7,0.3,1.7,2.6,5.5,
254,208.0,George Trapp,28.0,DET,PF,6.0,,11.3,2.5,4.8,0.517,0.5,0.7,0.75,0.7,1.0,1.7,0.5,0.0,0.2,2.2,5.5,
255,209.0,Butch Beard,29.0,NYK,PG,70.0,,15.5,2.1,4.2,0.505,1.1,1.6,0.688,0.7,1.6,2.3,2.1,0.8,0.1,2.0,5.3,
256,210.0,Darryl Dawkins,20.0,PHI,C,59.0,0.0,11.6,2.3,3.6,0.628,0.7,1.3,0.506,1.0,2.9,3.9,0.4,0.2,0.8,2.2,5.3,
257,211.0,Randy Denton,27.0,ATL,C,45.0,,15.6,2.3,5.7,0.402,0.7,1.0,0.702,1.8,3.0,4.8,0.7,0.3,0.4,2.2,5.3,
258,212.0,Alex English,23.0,MIL,SF,60.0,,10.8,2.2,4.6,0.477,0.8,1.0,0.767,1.1,1.7,2.8,0.4,0.3,0.3,1.3,5.2,
259,213.0,Butch Feher,22.0,PHO,SG,48.0,,10.1,1.8,3.4,0.531,1.6,2.1,0.768,0.4,1.2,1.5,0.8,0.2,0.1,1.0,5.2,
260,214.0,Paul Griffin,23.0,NOJ,PF,81.0,,20.3,1.7,3.2,0.547,1.8,2.5,0.721,2.1,4.0,6.1,2.1,0.6,0.5,3.0,5.2,
261,215.0,Paul McCracken,26.0,CHI,SG,9.0,,13.2,2.0,5.2,0.383,1.2,2.0,0.611,0.7,1.1,1.8,1.6,0.7,0.0,1.9,5.2,
262,216.0,Wally Walker,22.0,POR,SF,66.0,,9.5,2.1,4.6,0.449,1.0,1.5,0.67,0.7,1.0,1.6,0.8,0.2,0.0,1.4,5.2,
263,217.0,Claude Terry,27.0,2TM,SG,45.0,,12.1,2.1,4.2,0.503,0.8,1.0,0.818,0.3,0.8,1.0,1.3,0.4,0.0,1.1,5.1,
