,Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
522,505.0,Harrison Ingram,23.0,SAS,SF,4.0,0.0,13.0,22.8,0.875,0.25,0.0,25.3,0.0,12.4,0.0,0.0,0.0,0.0,13.0,0.1,0.0,0.1,0.284,8.0,-1.7,6.3,0.0,
523,506.0,Chucky Hepburn,22.0,TOR,PG,2.0,0.0,13.0,-13.5,0.0,0.833,0.0,0.0,8.7,4.3,17.7,3.7,0.0,14.3,22.9,-0.1,0.0,-0.1,-0.439,-20.9,-3.1,-24.1,-0.1,
524,507.0,Patrick Baldwin Jr.,23.0,LAC,SF,2.0,0.0,12.0,23.8,1.025,0.75,0.5,0.0,9.4,4.9,0.0,0.0,0.0,17.0,21.8,0.1,0.0,0.1,0.206,5.2,-0.5,4.8,0.0,
525,508.0,Tosan Evbuomwan,24.0,NYK,SF,5.0,0.0,8.0,-0.3,0.0,0.0,0.0,13.4,13.9,13.7,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,-0.029,-8.4,-3.2,-11.6,0.0,
526,509.0,LJ Cryer,24.0,GSW,PG,3.0,0.0,8.0,14.0,0.6,0.8,0.0,0.0,13.8,6.9,0.0,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.06,-0.3,-2.1,-2.4,0.0,
527,510.0,Riley Minix,25.0,SAS,SF,3.0,0.0,8.0,45.4,0.75,0.5,0.0,13.7,13.2,13.5,33.7,6.0,0.0,0.0,31.8,0.1,0.0,0.1,0.425,17.9,7.2,25.1,0.1,
528,511.0,Koby Brea,23.0,PHO,SG,2.0,0.0,8.0,18.5,0.515,0.667,0.667,0.0,14.1,6.9,34.0,0.0,0.0,0.0,20.4,0.0,0.0,0.0,0.203,-0.5,-2.4,-3.0,0.0,
529,512.0,Vladislav Goldin,24.0,MIA,C,2.0,0.0,8.0,23.9,1.0,0.0,0.0,0.0,12.9,6.4,38.1,0.0,11.2,0.0,10.1,0.0,0.0,0.1,0.366,-0.3,11.5,11.3,0.0,
530,513.0,Isaiah Crawford,24.0,HOU,SF,3.0,0.0,7.0,-5.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,-0.114,-10.1,-4.8,-14.9,0.0,
531,514.0,Colby Jones,23.0,DET,SG,1.0,0.0,7.0,13.0,0.333,0.667,0.0,0.0,62.4,31.6,38.1,0.0,0.0,0.0,17.7,0.0,0.0,0.0,0.123,-3.2,5.5,2.3,0.0,
532,515.0,Mo Bamba,27.0,TOR,C,2.0,0.0,6.0,-2.8,0.0,0.0,0.0,18.3,18.9,18.6,0.0,0.0,16.4,0.0,14.2,0.0,0.0,0.0,-0.16,-19.0,-2.7,-21.7,0.0,
533,516.0,Noa Essengue,19.0,CHI,PF,2.0,0.0,6.0,-12.1,0.0,0.667,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0,21.1,-0.1,0.0,-0.1,-0.421,-20.6,-3.3,-23.9,0.0,
534,517.0,Trentyn Flowers,20.0,CHI,SF,2.0,0.0,6.0,16.8,0.667,0.333,0.0,18.1,0.0,8.9,30.1,0.0,0.0,25.0,28.1,0.0,0.0,0.0,0.026,1.9,-2.9,-1.0,0.0,
535,518.0,Hunter Dickinson,25.0,NOP,C,1.0,0.0,5.0,-11.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,50.0,33.3,-0.1,0.0,-0.1,-0.522,-26.8,0.8,-26.0,0.0,
536,519.0,Tristan Enaruna,24.0,CLE,SF,1.0,0.0,3.0,55.6,1.0,0.0,0.0,71.6,0.0,36.1,58.7,0.0,0.0,0.0,13.8,0.0,0.0,0.0,0.752,31.7,0.0,31.6,0.0,
537,520.0,Stanley Umude,26.0,SAS,SG,1.0,0.0,2.0,-7.4,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.025,-14.4,1.0,-13.4,0.0,
538,,League Average,,,,,,,,0.579,0.414,0.266,5.2,14.8,10.0,16.2,1.7,1.9,12.2,19.9,,,,,,,,,
