,Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
103,90.0,Gar Heard,29.0,PHO,PF,80.0,,2099.0,12.9,0.449,0.235,8.0,24.2,16.0,7.7,2.6,2.5,14.8,14.4,0.1,4.4,4.5,0.103,-1.5,1.7,0.2,1.2,
104,91.0,Mike Gale,27.0,SAS,SG,70.0,,2091.0,13.3,0.51,0.172,3.0,8.0,5.6,21.7,3.3,0.6,22.0,14.8,1.1,2.2,3.3,0.076,-0.7,1.3,0.5,1.3,
105,92.0,Quinn Buckner,23.0,MIL,PG,82.0,82.0,2072.0,14.4,0.499,0.303,3.9,8.8,6.3,27.5,4.0,0.5,23.1,18.1,0.8,2.3,3.2,0.073,-1.4,1.4,0.1,1.1,DEF2
106,93.0,Sonny Parker,22.0,GSW,SF,82.0,,2069.0,17.4,0.544,0.221,8.0,11.1,9.5,10.6,3.0,0.9,13.0,18.7,3.4,2.8,6.2,0.145,1.5,1.1,2.7,2.4,
107,94.0,World B. Free,24.0,PHI,SG,76.0,5.0,2050.0,17.4,0.539,0.656,4.7,5.7,5.2,20.6,1.5,1.0,15.3,24.1,4.6,1.4,6.0,0.14,2.1,-1.0,1.1,1.6,
108,95.0,Pete Maravich,30.0,NOJ,SG,50.0,,2041.0,17.6,0.492,0.22,2.3,6.0,4.2,26.1,2.2,0.2,15.3,30.1,1.3,1.7,2.9,0.069,1.1,-1.2,-0.1,1.0,"AS,NBA2"
109,96.0,Louie Dampier,33.0,SAS,PG,82.0,,2037.0,13.7,0.531,0.153,1.3,4.8,3.1,17.6,1.9,0.3,11.9,15.2,3.0,1.0,4.0,0.094,0.2,-0.4,-0.2,0.9,
110,97.0,Jim Cleamons,28.0,NYK,PG,79.0,,2009.0,10.4,0.518,0.23,3.6,7.2,5.5,16.6,1.5,0.4,18.6,11.4,1.8,0.9,2.7,0.065,-0.7,-0.2,-0.9,0.6,
111,98.0,Chuck Williams,31.0,BUF,PG,73.0,,2002.0,9.5,0.533,0.317,1.6,5.8,3.7,20.9,1.1,0.1,23.9,13.0,1.0,0.3,1.3,0.031,-1.6,-1.3,-3.0,-0.5,
112,99.0,Elmore Smith,28.0,CLE,C,81.0,,1996.0,19.9,0.534,0.382,8.9,25.6,17.2,4.2,1.2,4.6,13.0,21.6,3.0,3.8,6.8,0.164,0.6,1.4,2.0,2.0,
113,100.0,Leon Douglas,23.0,DET,C,79.0,,1993.0,13.6,0.527,0.517,9.7,20.8,15.3,7.7,1.3,1.2,19.4,19.5,1.4,2.2,3.6,0.087,-1.6,-0.4,-2.0,0.0,
114,101.0,Butch Beard,30.0,NYK,PG,79.0,,1979.0,14.6,0.544,0.261,4.0,9.6,6.9,21.5,2.6,0.1,18.4,16.0,2.8,1.6,4.4,0.107,-0.1,0.5,0.4,1.2,
115,102.0,Jim McMillian,29.0,NYK,SF,81.0,,1977.0,12.5,0.507,0.215,4.3,10.7,7.6,12.8,1.7,0.4,13.2,15.1,2.1,1.3,3.4,0.083,-0.1,-0.2,-0.3,0.8,
116,103.0,Robert Parish,24.0,GSW,C,82.0,,1969.0,17.2,0.499,0.29,10.7,24.7,17.5,7.0,1.8,3.4,16.4,24.5,0.4,3.6,4.0,0.098,-1.4,0.4,-1.0,0.5,
117,104.0,Darnell Hillman,28.0,2TM,PF,78.0,,1966.0,13.6,0.507,0.403,9.9,19.4,14.6,7.1,1.4,2.1,17.3,19.2,0.8,2.4,3.2,0.079,-1.5,-0.1,-1.6,0.2,
118,104.0,Darnell Hillman,28.0,NJN,PF,45.0,,1220.0,14.6,0.499,0.409,9.6,17.7,13.4,5.8,1.7,1.9,15.6,21.2,0.4,1.5,2.0,0.077,-1.2,-0.2,-1.4,0.2,
119,104.0,Darnell Hillman,28.0,DEN,PF,33.0,,746.0,12.1,0.525,0.388,10.4,22.0,16.4,9.4,0.8,2.5,21.2,15.9,0.4,0.9,1.3,0.081,-2.2,0.1,-2.0,0.0,
