,Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
113,104.0,Calvin Murphy,32.0,HOU,PG,76.0,,2014.0,18.1,0.542,0.016,0.2,1.8,3.0,2.4,17.2,2.6,0.2,9.9,26.1,4.0,1.3,5.4,0.128,0.9,-0.1,0.8,1.4,
114,105.0,Allan Bristow,29.0,UTA,SF,82.0,,2001.0,14.9,0.511,0.029,0.324,6.0,18.5,12.3,27.0,1.5,0.1,19.7,18.7,1.4,1.3,2.7,0.065,0.3,-0.5,-0.2,0.9,
115,106.0,Fred Brown,32.0,SEA,SG,78.0,,1986.0,18.3,0.535,0.062,0.201,3.0,6.6,4.8,19.9,2.1,0.4,10.4,25.8,3.5,1.8,5.2,0.127,2.1,-0.1,2.0,2.0,
116,107.0,Darwin Cook,22.0,NJN,SG,81.0,,1980.0,15.0,0.503,0.031,0.22,5.3,8.2,6.7,21.9,3.2,1.0,16.4,21.4,0.6,2.1,2.7,0.065,-0.2,1.1,0.9,1.4,
117,108.0,Freeman Williams,24.0,SDC,SG,82.0,,1976.0,20.2,0.524,0.102,0.215,4.2,3.3,3.8,14.9,2.2,0.1,9.9,34.6,3.1,0.9,4.0,0.096,3.1,-1.9,1.2,1.6,
118,109.0,Sly Williams,23.0,NYK,PF,67.0,,1976.0,16.6,0.536,0.011,0.379,8.9,15.4,12.0,12.9,2.8,0.5,14.6,19.9,2.4,2.7,5.1,0.124,0.9,0.8,1.7,1.9,
119,110.0,Dave Corzine,24.0,SAS,C,82.0,,1960.0,16.5,0.52,0.004,0.234,13.2,21.7,17.7,8.4,1.0,2.7,13.7,19.3,2.6,2.5,5.1,0.125,0.3,-0.7,-0.4,0.8,
120,111.0,Kent Benson,26.0,DET,C,59.0,,1956.0,15.1,0.524,0.005,0.33,7.0,17.4,11.9,13.9,1.7,2.0,17.7,22.2,0.6,2.5,3.1,0.075,-0.3,0.4,0.1,1.0,
121,112.0,George Johnson,32.0,SAS,C,82.0,82.0,1935.0,13.5,0.517,0.0,0.314,12.6,20.9,16.9,5.8,1.1,7.7,21.8,10.4,1.1,3.4,4.5,0.112,-1.4,3.0,1.6,1.8,"MVP-24,DEF2"
122,113.0,Bob Gross,27.0,POR,SF,82.0,,1934.0,14.0,0.584,0.019,0.332,7.1,11.4,9.2,16.0,2.2,1.9,21.6,14.3,2.3,2.1,4.4,0.11,0.3,1.3,1.7,1.8,
123,114.0,Mitch Kupchak,26.0,WSB,PF,82.0,,1934.0,16.6,0.571,0.001,0.455,10.7,20.3,15.5,4.6,0.9,0.7,15.2,22.0,2.5,2.7,5.2,0.13,0.1,-0.4,-0.3,0.8,
124,115.0,Paul Griffin,27.0,SAS,PF,82.0,,1930.0,13.8,0.575,0.0,0.778,10.8,17.4,14.2,15.8,1.9,1.1,23.2,11.7,2.6,2.3,4.9,0.122,0.8,1.0,1.8,1.8,
125,116.0,John Lucas,27.0,GSW,PG,66.0,,1919.0,11.6,0.487,0.047,0.287,1.9,7.0,4.5,30.7,2.1,0.1,24.5,15.6,0.6,0.7,1.3,0.032,-0.6,-1.1,-1.7,0.2,
126,117.0,Dudley Bradley,23.0,IND,SG,82.0,24.0,1867.0,13.7,0.515,0.029,0.318,4.0,7.4,5.6,13.6,4.7,1.1,16.1,16.3,1.0,2.9,3.9,0.1,-1.8,3.4,1.6,1.7,DEF2
127,118.0,George McGinnis,30.0,IND,PF,69.0,56.0,1845.0,14.9,0.482,0.009,0.501,9.4,22.2,15.6,16.4,2.6,0.9,19.1,25.1,-1.1,2.9,1.7,0.045,-1.6,0.2,-1.4,0.3,
128,119.0,Don Collins,22.0,2TM,SF,81.0,,1845.0,14.5,0.5,0.007,0.335,7.8,8.5,8.1,15.7,2.7,0.8,15.8,24.6,0.6,2.0,2.6,0.068,-0.9,0.5,-0.5,0.7,
129,119.0,Don Collins,22.0,ATL,SF,47.0,,1184.0,15.0,0.496,0.006,0.306,9.2,8.9,9.1,15.4,2.8,0.6,15.1,24.8,0.7,1.0,1.8,0.072,-0.5,-0.1,-0.6,0.4,
130,119.0,Don Collins,22.0,WSB,SF,34.0,,661.0,13.6,0.507,0.011,0.391,5.2,7.7,6.4,16.2,2.5,1.1,16.9,24.1,-0.1,0.9,0.8,0.062,-1.7,1.5,-0.2,0.3,
131,120.0,Tom Owens,31.0,POR,PF,79.0,,1843.0,15.1,0.564,0.006,0.397,9.7,17.2,13.5,9.9,0.9,1.4,14.9,18.7,3.1,1.8,4.8,0.125,-0.3,-0.5,-0.8,0.6,
132,121.0,Ron Lee,28.0,DET,PG,82.0,,1829.0,9.9,0.435,0.04,0.483,3.9,10.5,7.0,26.1,4.3,0.9,30.6,12.5,-1.5,2.9,1.4,0.037,-3.8,3.0,-0.8,0.6,
133,122.0,Cliff Robinson,20.0,NJN,PF,63.0,,1822.0,17.9,0.521,0.001,0.232,7.3,22.9,14.9,9.8,1.5,1.6,13.4,29.5,0.4,2.1,2.5,0.065,0.0,-0.9,-0.9,0.5,
134,123.0,Paul Mokeski,24.0,DET,C,80.0,,1815.0,10.3,0.52,0.002,0.437,8.5,18.8,13.4,10.7,1.0,2.4,22.7,15.7,-0.4,2.1,1.7,0.046,-3.2,0.5,-2.6,-0.3,
135,124.0,Richard Washington,25.0,2TM,PF,80.0,,1812.0,13.6,0.49,0.003,0.213,9.2,19.0,13.9,10.2,1.2,1.9,13.6,21.1,0.7,1.4,2.1,0.056,-1.8,-0.4,-2.2,-0.1,
136,124.0,Richard Washington,25.0,DAL,PF,11.0,,307.0,11.5,0.468,0.0,0.197,8.9,22.7,15.6,8.1,0.8,1.3,14.2,20.2,-0.1,0.2,0.1,0.013,-2.4,-1.4,-3.8,-0.2,
137,124.0,Richard Washington,25.0,CLE,PF,69.0,,1505.0,14.1,0.494,0.003,0.216,9.3,18.2,13.6,10.6,1.3,2.0,13.5,21.3,0.8,1.2,2.0,0.065,-1.7,-0.2,-1.9,0.0,
138,125.0,Ricky Sobers,28.0,CHI,PG,71.0,,1803.0,15.6,0.546,0.086,0.321,3.0,5.9,4.6,23.3,2.6,0.5,19.0,24.5,2.2,1.6,3.8,0.101,-0.1,-0.5,-0.6,0.6,
139,126.0,Wally Walker,26.0,SEA,SF,82.0,,1796.0,11.3,0.492,0.005,0.27,6.6,12.6,9.6,9.9,1.4,0.5,14.1,18.5,0.3,1.7,2.1,0.055,-1.6,-0.5,-2.1,-0.1,
