,Player,Team,G,Par,Stocks,eFG%,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Year
308,Gradey Dick,Toronto Raptors,61.0,9.1,0.7,0.494,10.6,0.541,1.4,-3.4,-0.3,0.5714,63.0,2026
309,Tre Mann,Charlotte Hornets,43.0,10.2,0.6,0.443,8.4,0.462,-0.1,-5.2,-0.5,0.4923,65.0,2026
310,Tidjane Salaün,Charlotte Hornets,36.0,11.1,0.6,0.62,13.1,0.632,1.4,-0.7,0.2,0.4923,65.0,2026
311,Trendon Watford,Philadelphia 76ers,40.0,12.0,0.7,0.541,13.0,0.572,1.2,-1.6,0.1,0.5397,63.0,2026
312,Devin Carter,Sacramento Kings,26.0,10.7,1.0,0.401,12.3,0.462,-0.1,-3.7,-0.2,0.2308,65.0,2026
313,Taurean Prince,Milwaukee Bucks,8.0,8.7,1.1,0.605,7.8,0.623,0.2,-3.8,-0.1,0.4286,63.0,2026
314,Cody Williams,Utah Jazz,50.0,9.8,1.1,0.506,8.6,0.523,0.2,-5.1,-0.8,0.2969,64.0,2026
315,Oso Ighodaro,Phoenix Suns,64.0,12.8,1.6,0.64,13.3,0.63,3.2,-0.3,0.6,0.5781,64.0,2026
316,Kris Murray,Portland Trail Blazers,41.0,10.9,1.4,0.507,9.4,0.533,1.3,-2.0,0.0,0.4769,65.0,2026
317,Gary Payton II,Golden State Warriors,56.0,10.9,1.0,0.591,15.8,0.59,1.8,0.6,0.5,0.5079,63.0,2026
318,Drake Powell,Brooklyn Nets,47.0,9.2,0.6,0.496,7.9,0.549,0.2,-5.6,-0.8,0.254,63.0,2026
319,Nae'Qwan Tomlin,Cleveland Cavaliers,50.0,9.7,1.3,0.502,13.0,0.532,1.8,-1.8,0.0,0.6094,64.0,2026
320,Goga Bitadze,Orlando Magic,47.0,12.1,1.7,0.703,20.9,0.715,3.5,3.6,1.0,0.5556,63.0,2026
321,Dru Smith,Miami Heat,62.0,11.1,1.8,0.472,14.8,0.532,3.0,2.6,1.2,0.5538,65.0,2026
322,Jamir Watkins,Washington Wizards,32.0,10.3,1.3,0.525,10.4,0.545,0.6,-4.5,-0.4,0.254,63.0,2026
323,Jevon Carter,Orlando Magic,34.0,8.8,0.8,0.517,10.5,0.531,0.4,-1.6,0.0,0.5556,63.0,2026
324,Mac McClung,Chicago Bulls,4.0,7.6,1.8,0.4,8.5,0.43,-0.1,-5.4,0.0,0.4062,64.0,2026
325,Steven Adams,Houston Rockets,32.0,15.9,1.3,0.504,15.9,0.535,2.1,-0.6,0.3,0.619,63.0,2026
326,Sidy Cissoko,Portland Trail Blazers,59.0,9.7,1.2,0.493,7.3,0.522,1.0,-4.1,-0.6,0.4769,65.0,2026
327,Ryan Dunn,Phoenix Suns,57.0,11.4,1.2,0.508,10.8,0.511,1.8,-1.7,0.1,0.5781,64.0,2026
328,Kasparas Jakučionis,Miami Heat,38.0,10.8,0.8,0.557,11.0,0.599,1.4,-0.8,0.2,0.5538,65.0,2026
329,Nick Smith Jr.,Los Angeles Lakers,25.0,7.7,0.5,0.523,9.2,0.53,0.0,-5.2,-0.3,0.6094,64.0,2026
330,Dean Wade,Cleveland Cavaliers,49.0,11.6,1.2,0.561,10.9,0.578,2.7,0.4,0.7,0.6094,64.0,2026
331,Spencer Jones,Denver Nuggets,52.0,9.7,1.2,0.618,9.2,0.625,2.1,-2.7,-0.2,0.6094,64.0,2026
332,Keon Ellis,Cleveland Cavaliers,55.0,8.1,1.9,0.536,10.0,0.547,1.1,-0.7,0.4,0.6094,64.0,2026
333,Aaron Holiday,Houston Rockets,41.0,7.4,0.5,0.53,10.1,0.566,1.0,-2.8,-0.1,0.619,63.0,2026
334,Thomas Bryant,Cleveland Cavaliers,46.0,9.1,0.7,0.568,17.0,0.612,1.6,0.0,0.2,0.6094,64.0,2026
335,Eric Gordon,Philadelphia 76ers,6.0,6.3,0.9,0.762,14.5,0.754,0.2,2.3,0.1,0.5397,63.0,2026
336,Yves Missi,New Orleans Pelicans,53.0,12.1,1.7,0.543,15.1,0.555,2.0,-2.1,0.0,0.3182,66.0,2026
337,Blake Wesley,Portland Trail Blazers,21.0,9.4,0.9,0.5,11.2,0.515,0.2,-3.1,-0.1,0.4769,65.0,2026
338,Josh Minott,Brooklyn Nets,38.0,9.6,1.0,0.62,15.0,0.636,1.9,1.6,0.5,0.254,63.0,2026
339,Dylan Cardwell,Sacramento Kings,29.0,14.3,2.4,0.598,15.6,0.602,1.6,-1.8,0.0,0.2308,65.0,2026
340,Sion James,Charlotte Hornets,65.0,10.7,0.9,0.486,8.0,0.541,2.2,-2.4,-0.2,0.4923,65.0,2026
341,Karlo Matković,New Orleans Pelicans,52.0,9.8,1.3,0.704,17.1,0.714,2.2,0.9,0.5,0.3182,66.0,2026
342,Ousmane Dieng,Milwaukee Bucks,40.0,9.1,0.6,0.518,10.8,0.533,0.8,-1.4,0.1,0.4286,63.0,2026
343,Drew Eubanks,Sacramento Kings,40.0,8.6,1.0,0.603,13.8,0.609,0.6,-3.8,-0.2,0.2308,65.0,2026
344,Jalen Pickett,Denver Nuggets,42.0,10.3,0.4,0.525,10.6,0.539,0.9,-2.1,0.0,0.6094,64.0,2026
345,Jordan Walsh,Boston Celtics,56.0,10.3,1.1,0.608,13.4,0.63,3.1,-0.1,0.5,0.6719,64.0,2026
346,KJ Simpson,Denver Nuggets,17.0,9.7,0.9,0.406,8.7,0.428,-0.1,-4.6,-0.2,0.6094,64.0,2026
347,Jett Howard,Orlando Magic,42.0,7.6,0.4,0.503,11.3,0.545,0.9,-2.1,0.0,0.5556,63.0,2026
348,Garrison Mathews,Indiana Pacers,15.0,7.0,0.6,0.567,11.4,0.628,0.4,-1.3,0.0,0.2344,64.0,2026
349,Nick Richards,Chicago Bulls,40.0,10.1,1.0,0.517,12.2,0.562,0.4,-6.3,-0.6,0.4062,64.0,2026
350,Johnny Furphy,Indiana Pacers,35.0,10.7,0.8,0.547,9.3,0.547,0.5,-3.8,-0.3,0.2344,64.0,2026
351,Josh Okogie,Houston Rockets,60.0,8.6,1.1,0.545,9.8,0.557,2.2,-1.6,0.1,0.619,63.0,2026
352,Mitchell Robinson,New York Knicks,47.0,14.5,1.9,0.707,19.9,0.655,4.3,2.8,1.1,0.6308,65.0,2026
353,Josh Green,Charlotte Hornets,41.0,8.0,0.7,0.643,11.1,0.67,1.6,0.0,0.3,0.4923,65.0,2026
354,Asa Newell,Atlanta Hawks,40.0,7.5,0.7,0.628,13.6,0.628,0.9,-2.0,0.0,0.5156,64.0,2026
355,Ben Saraf,Brooklyn Nets,27.0,9.1,0.8,0.402,5.7,0.452,-0.8,-8.0,-0.7,0.254,63.0,2026
