,Player,Team,G,Par,Stocks,eFG%,MP,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
134,Mark West,Phoenix Suns,82.0,19.9,2.6,0.625,2399.0,15.7,0.656,8.2,1.4,2.0,0.6585,82.0,0,1.0,1990
140,Sean Elliott,San Antonio Spurs,81.0,15.6,0.8,0.481,2032.0,12.5,0.546,4.6,-1.1,0.4,0.6829,82.0,0,0.9878,1990
141,John Paxson,Chicago Bulls,82.0,15.6,1.1,0.539,2365.0,12.7,0.555,4.8,-1.5,0.3,0.6707,82.0,0,1.0,1990
142,Mark Jackson,New York Knicks,82.0,21.2,1.3,0.46,2428.0,14.3,0.492,3.7,0.4,1.5,0.5488,82.0,0,1.0,1990
144,Maurice Cheeks,New York Knicks,81.0,18.3,1.6,0.507,2519.0,14.9,0.565,7.1,1.9,2.5,0.5488,82.0,0,0.9878,1990
146,Michael Cage,Seattle SuperSonics,82.0,20.6,1.5,0.504,2595.0,14.5,0.54,6.8,0.0,1.3,0.5,82.0,0,1.0,1990
149,Darrell Walker,Washington Bullets,81.0,26.3,2.1,0.455,2883.0,15.6,0.492,6.3,2.3,3.1,0.378,82.0,0,0.9878,1990
152,Spud Webb,Atlanta Hawks,82.0,17.5,1.4,0.478,2184.0,15.3,0.538,4.5,0.5,1.4,0.5,82.0,0,1.0,1990
153,James Donaldson,Dallas Mavericks,73.0,18.5,0.9,0.539,2265.0,12.2,0.581,4.5,-1.5,0.3,0.5732,82.0,0,0.8902,1990
164,Dennis Rodman,Detroit Pistons,82.0,19.4,1.3,0.582,2377.0,15.4,0.608,9.3,1.6,2.2,0.7195,82.0,0,1.0,1990
167,Herb Williams,Dallas Mavericks,81.0,14.9,1.9,0.445,2199.0,10.4,0.476,2.2,-2.0,0.0,0.5732,82.0,0,0.9878,1990
171,Tod Murphy,Minnesota Timberwolves,82.0,16.5,1.6,0.486,2493.0,13.0,0.53,6.1,-0.4,1.0,0.2683,82.0,0,1.0,1990
178,Lester Conner,New Jersey Nets,82.0,15.8,2.2,0.415,2355.0,12.8,0.486,3.7,-0.5,0.9,0.2073,82.0,0,1.0,1990
182,Bob Hansen,Utah Jazz,81.0,12.2,0.7,0.514,2174.0,8.5,0.517,2.8,-2.1,-0.1,0.6707,82.0,0,0.9878,1990
188,Dennis Johnson,Boston Celtics,75.0,16.3,1.3,0.435,2036.0,12.4,0.495,3.8,-0.3,0.9,0.6341,82.0,0,0.9146,1990
194,LaSalle Thompson,Indiana Pacers,82.0,15.8,1.7,0.475,2126.0,10.3,0.523,2.4,-2.6,-0.3,0.5122,82.0,0,1.0,1990
204,Nate McMillan,Seattle SuperSonics,82.0,18.6,2.2,0.485,2338.0,14.4,0.517,4.9,2.6,2.7,0.5,82.0,0,1.0,1990
240,Mark Eaton,Utah Jazz,82.0,12.6,2.9,0.527,2281.0,10.6,0.561,5.3,0.4,1.4,0.6707,82.0,0,1.0,1990
297,Charles Jones,Washington Bullets,81.0,11.1,3.0,0.508,2240.0,9.2,0.554,3.8,-0.5,0.9,0.378,82.0,0,0.9878,1990
