,Unnamed: 0,Player,Team,G,Par,Stocks,eFG%,MP,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
51,65,Johnny Davis,Indiana Pacers,76.0,22.9,1.5,0.467,2536.0,15.2,0.522,5.7,-0.3,1.1,0.5366,82.0,0.0,0.9268,1981
52,66,Dave Greenwood,Chicago Bulls,82.0,25.9,2.4,0.486,2710.0,16.6,0.528,7.1,1.2,2.2,0.5488,82.0,0.0,1.0,1981
53,67,Roger Phegley,Cleveland Cavaliers,82.0,19.6,1.0,0.495,2269.0,14.3,0.545,3.7,-1.6,0.3,0.3415,82.0,0.0,1.0,1981
54,68,Jim Spanarkel,Dallas Mavericks,82.0,20.8,1.6,0.467,2317.0,17.3,0.563,5.5,1.2,1.9,0.1829,82.0,0.0,1.0,1981
55,70,Larry Kenon,Chicago Bulls,77.0,20.9,1.2,0.48,2161.0,15.2,0.516,4.1,-1.1,0.5,0.5488,82.0,0.0,0.939,1981
56,71,James Bailey,Seattle SuperSonics,82.0,22.6,2.6,0.5,2539.0,14.5,0.546,4.9,-1.1,0.6,0.4146,82.0,0.0,1.0,1981
57,72,Mike Bantom,Indiana Pacers,76.0,22.8,2.2,0.489,2375.0,14.5,0.528,4.4,-0.1,1.2,0.5366,82.0,0.0,0.9268,1981
58,73,Darryl Dawkins,Philadelphia 76ers,76.0,22.6,2.0,0.607,2088.0,15.9,0.641,6.3,0.1,1.1,0.7561,82.0,0.0,0.9268,1981
59,74,Sidney Moncrief,Milwaukee Bucks,80.0,22.4,1.6,0.543,2417.0,18.0,0.614,9.9,3.8,3.5,0.7317,82.0,0.0,0.9756,1981
60,75,Tiny Archibald,Boston Celtics,80.0,23.7,1.1,0.499,2820.0,14.3,0.582,6.9,-0.1,1.4,0.7561,82.0,0.046,0.9756,1981
61,77,Keith Herron,Detroit Pistons,80.0,18.2,1.4,0.454,2270.0,13.4,0.511,3.5,-1.3,0.4,0.2561,82.0,0.0,0.9756,1981
62,78,Tom LaGarde,Dallas Mavericks,82.0,24.7,0.9,0.47,2670.0,13.5,0.518,2.7,-1.9,0.1,0.1829,82.0,0.0,1.0,1981
63,79,Bobby Jones,Philadelphia 76ers,81.0,21.7,2.1,0.539,2046.0,20.1,0.604,9.2,4.7,3.5,0.7561,82.0,0.004,0.9878,1981
64,81,Calvin Natt,Portland Trail Blazers,74.0,21.3,1.2,0.5,2111.0,14.8,0.541,4.2,-0.8,0.7,0.5488,82.0,0.0,0.9024,1981
65,82,Kevin Porter,Washington Bullets,81.0,24.0,1.5,0.521,2577.0,16.2,0.561,6.4,1.7,2.4,0.4756,82.0,0.0,0.9878,1981
66,83,Terry Tyler,Detroit Pistons,82.0,22.0,3.6,0.532,2549.0,17.2,0.547,6.4,2.3,2.8,0.2561,82.0,0.0,1.0,1981
67,84,Quinn Buckner,Milwaukee Bucks,82.0,21.6,2.4,0.493,2384.0,15.1,0.522,5.4,0.8,1.7,0.7317,82.0,0.001,1.0,1981
68,85,Geoff Huston,Cleveland Cavaliers,81.0,19.8,0.8,0.49,2434.0,13.4,0.518,1.7,-2.2,-0.1,0.3415,82.0,0.0,0.9878,1981
69,89,Vinnie Johnson,Seattle SuperSonics,81.0,21.7,1.2,0.534,2311.0,16.8,0.583,5.9,1.9,2.3,0.4146,82.0,0.0,0.9878,1981
70,91,Bill Robinzine,Dallas Mavericks,78.0,21.2,1.1,0.475,2016.0,14.8,0.528,2.3,-2.4,-0.2,0.1829,82.0,0.0,0.9512,1981
71,93,Mickey Johnson,Milwaukee Bucks,82.0,22.6,2.0,0.45,2118.0,16.3,0.516,5.3,1.4,1.8,0.7317,82.0,0.0,1.0,1981
72,95,Wes Matthews,Atlanta Hawks,79.0,19.4,1.6,0.497,2266.0,13.1,0.549,2.6,-1.2,0.5,0.378,82.0,0.0,0.9634,1981
73,98,Mark Olberding,San Antonio Spurs,82.0,21.4,1.3,0.509,2408.0,14.8,0.594,6.6,0.1,1.2,0.6341,82.0,0.0,1.0,1981
